Unnamed: 0,m49_code,food_supply_stage_Harvest
13482,508,False
7650,356,False
25292,894,False
22048,834,True
9653,404,False
2973,231,False
7633,356,False
16603,646,False
2122,180,False
1550,156,False
5291,270,False
3474,231,False
17116,686,False
18278,710,True
4489,24,True
19369,72,True
4774,24,False
7325,356,False
19272,72,False
14602,562,False
16875,686,False
17215,686,False
4420,24,False
2817,204,False
5735,270,False
12076,466,False
24984,894,False
25280,894,False
14490,562,False
12644,478,False
14628,562,False
25282,894,False
9759,404,True
11548,458,False
24540,854,False
8725,384,False
13042,50,False
3952,232,False
901,120,False
18412,710,True
2051,180,False
3158,231,False
13453,508,False
15207,566,False
14472,562,False
14070,516,False
13048,50,True
13372,508,False
2762,204,True
10954,454,False
3187,231,False
17486,686,True
489,108,False
20394,768,False
24744,894,True
14927,566,False
13865,508,True
8916,384,False
13066,50,False
11490,454,True
5880,288,False
21552,800,False
25087,894,True
6633,324,False
2492,204,False
11413,454,False
3908,231,False
6865,324,False
13714,508,False
797,120,False
21957,834,False
11071,454,True
24528,854,False
11360,454,False
12105,466,False
19887,729,False
7358,356,False
8623,384,True
17888,706,False
2033,180,False
13175,50,False
24903,894,False
2128,180,False
682,120,False
12141,466,False
8968,384,False
14951,566,False
24830,894,False
19885,729,False
15875,624,True
16148,646,False
14968,566,False
14488,562,False
17727,694,False
1158,148,True
18880,716,False
13929,51,False
17701,694,False
1121,148,False
22314,834,False
8927,384,False
284,108,False
16528,646,True
25240,894,True
9740,404,False
1355,148,True
15598,608,False
15412,586,False
16674,646,True
6862,324,False
15932,624,False
13173,50,False
19291,72,False
25193,894,False
145,108,False
22387,834,False
25213,894,False
16770,686,False
24359,854,False
9664,404,False
3997,232,False
5995,288,False
866,120,False
10602,450,False
1786,180,False
15879,624,False
20454,768,True
16032,624,False
15159,566,False
4709,24,True
18447,710,False
4453,24,True
12856,50,False
18241,710,False
2676,204,True
11545,458,False
12321,478,False
19934,729,False
22376,834,False
255,108,False
13029,50,True
6446,288,False
14232,516,True
15106,566,True
9956,404,True
15791,624,True
12585,478,True
8977,384,False
811,120,True
13506,508,True
4724,24,False
12599,478,False
11131,454,True
246,108,False
13376,508,False
1205,148,False
24727,894,False
13728,508,False
3512,231,False
6243,288,False
271,108,False
12322,478,False
13853,508,False
5895,288,True
20732,768,True
10093,410,False
22342,834,False
5926,288,False
8835,384,False
6350,288,False
13907,508,False
20706,768,True
9957,404,False
10508,430,False
19313,72,False
19408,72,False
4653,24,False
19140,72,False
14792,562,False
1065,148,False
19732,729,False
10978,454,False
8038,356,False
17923,706,True
714,120,False
17184,686,False
15424,586,False
10804,454,True
706,120,False
4561,24,False
163,108,False
24461,854,False
14709,562,False
5662,270,False
14120,516,True
11835,466,True
14026,516,True
14789,562,False
11551,458,False
24691,894,True
7119,356,False
16320,646,False
13725,508,False
22120,834,False
15103,566,False
21293,800,False
16021,624,True
22303,834,False
24123,854,False
2773,204,False
12324,478,False
4585,24,False
21111,800,True
9210,404,False
3518,231,False
17198,686,False
14738,562,False
1007,148,False
20810,800,False
20548,768,False
13854,508,True
12431,478,False
22302,834,False
8965,384,True
4035,232,True
16673,646,False
13143,50,False
24154,854,False
8795,384,False
4394,24,False
24885,894,False
10363,426,False
6245,288,True
9772,404,False
1595,156,False
20742,768,False
17638,694,False
12532,478,False
6694,324,True
11537,454,False
12115,466,False
20659,768,False
13220,50,False
21698,826,False
2112,180,False
4720,24,False
13537,508,False
17285,686,False
1077,148,True
